Comp,Att,Pct,Att/G,Yds,Avg,Yds/G,TD,Int,1st,1st%,Lng,20+,40+,Sck,Rate
471,673,70.0,42.1,5208,7.7,325.5,37,15,264,39.2,98,70,10,27,101.7
373,534,69.9,33.4,4944,9.3,309.0,38,7,238,44.6,76,69,17,37,117.1
406,606,67.0,37.9,4917,8.1,307.3,25,12,225,37.1,80,69,13,23,97.2
401,610,65.7,38.1,4428,7.3,276.8,40,7,222,36.4,66,57,10,35,104.2
349,578,60.4,36.1,4386,7.6,274.1,33,21,214,37.0,59,57,16,36,87.9
388,594,65.3,37.1,4327,7.3,270.4,24,10,217,36.5,73,52,10,37,93.3
436,672,64.9,42.0,4317,6.4,269.8,20,15,204,30.4,95,40,11,33,83.5
346,545,63.5,36.3,4240,7.8,282.7,31,13,206,37.8,64,61,8,41,96.4
364,597,61.0,39.8,4233,7.1,282.2,26,14,218,36.5,80,48,6,40,87.2
353,546,64.7,34.1,4219,7.7,263.7,21,11,193,35.3,59,51,11,41,92.6
364,563,64.7,35.2,4206,7.5,262.9,18,8,204,36.2,86,53,13,41,91.8
345,567,60.8,35.4,4090,7.2,255.6,28,18,214,37.7,45,43,4,35,86.1
377,598,63.0,37.4,4027,6.7,251.7,26,16,190,31.8,75,46,11,21,86.0
357,560,63.8,37.3,3937,7.0,262.5,28,6,189,33.8,75,50,8,16,96.7
368,625,58.9,39.1,3905,6.2,244.1,23,16,206,33.0,51,43,4,34,78.8
395,552,71.6,36.8,3877,7.0,258.5,20,5,197,35.7,71,49,8,37,99.3
328,509,64.4,36.4,3819,7.5,272.8,29,13,184,36.1,72,59,8,17,95.4
379,607,62.4,37.9,3782,6.2,236.4,16,14,191,31.5,73,39,6,33,79.3
311,459,67.8,28.7,3667,8.0,229.2,23,4,182,39.7,83,38,8,25,104.9
291,432,67.4,36.0,3554,8.2,296.2,28,2,163,37.7,79,45,8,15,112.2
270,510,52.9,34.0,3509,6.9,233.9,19,14,172,33.7,88,42,8,36,75.8
328,489,67.1,32.6,3502,7.2,233.5,15,8,181,37.0,80,39,8,28,91.2
276,451,61.2,30.1,3426,7.6,228.4,26,9,158,35.0,60,50,7,23,95.6
289,486,59.5,34.7,3401,7.0,242.9,18,10,155,31.9,76,37,8,31,84.6
269,436,61.7,29.1,3023,6.9,201.5,17,6,147,33.7,84,33,7,42,89.7
261,389,67.1,29.9,2995,7.7,230.4,19,12,132,33.9,74,37,11,29,93.5
301,510,59.0,34.0,2957,5.8,197.1,15,16,153,30.0,53,29,4,27,72.2
228,403,56.6,28.8,2710,6.7,193.6,12,17,128,31.8,57,38,5,19,69.6
196,331,59.2,27.6,2241,6.8,186.8,16,4,101,30.5,65,25,5,36,90.7
196,322,60.9,32.2,2201,6.8,220.1,9,11,102,31.7,65,31,8,23,76.4
129,216,59.7,30.9,1611,7.5,230.1,8,14,89,41.2,37,21,0,6,68.3
134,200,67.0,33.3,1445,7.2,240.8,6,0,75,37.5,64,13,1,4,98.0
128,195,65.6,21.7,1380,7.1,153.3,6,2,67,34.4,44,17,4,21,92.3
90,165,54.5,33.0,1100,6.7,220.0,6,6,56,33.9,54,14,2,18,72.3
112,205,54.6,29.3,1089,5.3,155.6,5,7,47,22.9,66,12,1,26,63.6
81,137,59.1,27.4,1059,7.7,211.8,4,5,45,32.8,54,15,3,17,78.1
91,160,56.9,26.7,925,5.8,154.2,5,6,51,31.9,75,10,1,11,68.4
87,147,59.2,29.4,886,6.0,177.2,2,3,43,29.3,58,9,3,22,72.5
75,133,56.4,22.2,809,6.1,134.8,3,7,35,26.3,52,9,4,13,60.0
55,87,63.2,21.8,721,8.3,180.2,8,3,35,40.2,66,9,4,1,105.6
53,86,61.6,10.8,558,6.5,69.8,4,2,26,30.2,51,5,2,4,86.3
43,63,68.3,10.5,502,8.0,83.7,4,0,22,34.9,37,7,0,3,113.3
49,83,59.0,27.7,497,6.0,165.7,2,1,25,30.1,31,3,0,9,79.2
46,73,63.0,24.3,461,6.3,153.7,0,0,20,27.4,32,5,0,5,80.9
36,53,67.9,10.6,453,8.5,90.6,2,5,22,41.5,48,7,1,0,67.6
36,55,65.5,18.3,410,7.5,136.7,3,0,15,27.3,49,7,1,4,105.9
34,55,61.8,18.3,400,7.3,133.3,0,0,18,32.7,58,4,1,6,83.9
30,51,58.8,12.8,284,5.6,71.0,2,2,16,31.4,50,3,1,5,71.0
19,35,54.3,11.7,242,6.9,80.7,0,0,12,34.3,33,3,0,1,76.1
23,37,62.2,12.3,216,5.8,72.0,1,2,13,35.1,32,1,0,3,64.7
428,627,68.3,41.8,4870,7.8,324.7,32,11,228,36.4,80,68,13,31,101.0
437,661,66.1,41.3,4792,7.2,299.5,29,13,226,34.2,80,53,8,40,93.8
402,624,64.4,39.0,4770,7.6,298.1,36,7,228,36.5,76,58,12,38,102.2
342,537,63.7,33.6,4671,8.7,291.9,35,11,231,43.0,68,65,15,25,104.6
407,614,66.3,38.4,4591,7.5,286.9,21,16,229,37.3,70,49,9,30,89.0
387,618,62.6,38.6,4432,7.2,277.0,35,14,204,33.0,87,52,16,27,93.6
355,606,58.6,37.9,4428,7.3,276.8,35,18,215,35.5,90,72,11,51,88.2
398,592,67.2,37.0,4262,7.2,266.4,32,13,223,37.7,57,49,8,44,97.0
363,586,61.9,36.6,4208,7.2,263.0,24,12,193,32.9,54,57,13,45,88.7
379,543,69.8,33.9,4166,7.7,260.4,29,11,204,37.6,78,50,8,26,101.6
312,535,58.3,33.4,4042,7.6,252.6,22,15,201,37.6,68,57,9,27,84.2
329,483,68.1,30.2,4024,8.3,251.5,34,8,187,38.7,80,60,9,45,110.1
350,573,61.1,35.8,3987,7.0,249.2,32,13,183,31.9,68,53,10,31,91.1
319,469,68.0,39.1,3938,8.4,328.2,21,16,174,37.1,69,48,17,20,94.5
335,562,59.6,35.1,3905,6.9,244.1,31,15,196,34.9,69,53,9,19,88.0
296,495,59.8,30.9,3837,7.8,239.8,35,10,195,39.4,74,52,10,33,99.4
347,572,60.7,35.8,3821,6.7,238.8,31,8,173,30.2,65,55,6,46,92.7
346,532,65.0,38.0,3725,7.0,266.1,19,14,164,30.8,78,46,13,28,86.4
311,483,64.4,32.2,3659,7.6,243.9,21,11,171,35.4,87,53,10,29,92.3
307,470,65.3,29.4,3486,7.4,217.9,20,7,154,32.8,80,42,10,45,95.4
255,386,66.1,29.7,3250,8.4,250.0,25,7,147,38.1,80,52,11,20,106.2
292,447,65.3,27.9,3231,7.2,201.9,14,9,153,34.2,52,41,6,44,88.7
242,380,63.7,27.1,3035,8.0,216.8,20,6,129,33.9,63,45,11,36,99.4
230,370,62.2,30.8,2818,7.6,234.8,19,10,142,38.4,61,40,4,38,91.5
266,413,64.4,41.3,2791,6.8,279.1,14,12,123,29.8,50,36,4,16,83.1
224,369,60.7,33.5,2606,7.1,236.9,19,7,130,35.2,49,32,5,25,91.4
198,331,59.8,33.1,2249,6.8,224.9,9,17,110,33.2,75,24,7,16,67.9
186,292,63.7,36.5,2109,7.2,263.6,12,4,96,32.9,56,24,6,23,93.3
190,337,56.4,30.6,2052,6.1,186.5,7,10,82,24.3,68,27,8,14,69.0
178,282,63.1,35.2,2031,7.2,253.9,10,7,83,29.4,71,27,5,25,86.2
170,275,61.8,34.4,1967,7.2,245.9,10,6,91,33.1,72,17,4,23,86.4
162,293,55.3,41.9,1881,6.4,268.7,15,12,90,30.7,87,22,3,15,74.9
156,256,60.9,32.0,1690,6.6,211.2,9,5,85,33.2,57,22,3,16,84.0
144,244,59.0,27.1,1615,6.6,179.4,6,5,71,29.1,76,19,7,28,78.5
129,223,57.8,24.8,1500,6.7,166.7,7,5,71,31.8,61,19,4,19,79.4
119,204,58.3,25.5,1276,6.3,159.5,5,7,54,26.5,51,13,2,14,70.6
101,166,60.8,23.7,935,5.6,133.6,4,7,45,27.1,57,7,1,13,66.7
83,121,68.6,30.2,884,7.3,221.0,5,7,46,38.0,39,7,0,6,79.4
79,119,66.4,17.0,854,7.2,122.0,6,2,44,37.0,66,11,2,12,97.1
76,125,60.8,20.8,828,6.6,138.0,4,1,41,32.8,60,7,2,4,87.7
61,104,58.7,34.7,779,7.5,259.7,4,6,40,38.5,36,13,0,5,71.0
59,91,64.8,22.8,616,6.8,154.0,4,4,29,31.9,43,7,1,9,80.7
58,97,59.8,48.5,566,5.8,283.0,2,2,34,35.1,39,4,0,2,74.5
52,84,61.9,12.0,561,6.7,80.1,3,3,26,31.0,58,6,1,6,78.5
49,85,57.6,42.5,555,6.5,277.5,2,3,26,30.6,48,8,2,3,70.5
56,94,59.6,31.3,547,5.8,182.3,1,3,25,26.6,42,5,2,11,66.2
52,80,65.0,40.0,540,6.8,270.0,3,4,28,35.0,48,6,2,3,76.0
32,55,58.2,7.9,513,9.3,73.3,3,4,19,34.5,88,9,3,2,77.3
40,66,60.6,13.2,371,5.6,74.2,2,1,14,21.2,72,4,1,10,79.8
28,57,49.1,14.2,370,6.5,92.5,3,1,19,33.3,61,5,1,5,80.3
456,659,69.2,41.2,4952,7.5,309.5,33,17,258,39.2,69,52,10,29,97.0
408,608,67.1,38.0,4952,8.1,309.5,32,9,240,39.5,94,55,15,33,103.3
380,616,61.7,38.5,4761,7.7,297.6,40,16,234,38.0,80,73,15,27,96.5
395,597,66.2,37.3,4727,7.9,295.4,39,15,225,37.7,86,66,11,17,101.5
415,628,66.1,39.2,4694,7.5,293.4,28,14,230,36.6,79,60,8,31,93.9
379,601,63.1,37.6,4410,7.3,275.6,30,14,216,35.9,80,52,10,28,92.1
341,520,65.6,32.5,4381,8.4,273.8,38,5,219,42.1,80,59,15,28,112.2
379,570,66.5,35.6,4286,7.5,267.9,31,18,213,37.4,59,57,9,36,93.8
363,602,60.3,37.6,4257,7.1,266.1,22,12,209,34.7,73,53,11,45,85.7
373,582,64.1,36.4,4109,7.1,256.8,33,9,220,37.8,69,44,8,21,97.4
392,590,66.4,36.9,4045,6.9,252.8,27,12,224,38.0,50,41,4,46,92.8
344,554,62.1,34.6,3986,7.2,249.1,27,12,194,35.0,80,50,7,19,91.0
370,561,66.0,37.4,3812,6.8,254.1,28,18,181,32.3,74,39,8,38,88.6
304,435,69.9,29.0,3705,8.5,247.0,34,9,189,43.4,68,49,10,29,113.2
285,452,63.1,28.2,3475,7.7,217.2,20,7,159,35.2,80,54,8,42,95.0
309,481,64.2,30.1,3398,7.1,212.4,19,17,158,32.8,81,33,7,21,83.5
289,478,60.5,29.9,3369,7.0,210.6,19,10,163,34.1,80,48,5,52,86.4
242,438,55.3,31.3,3326,7.6,237.6,12,13,163,37.2,81,51,10,24,76.5
348,599,58.1,37.4,3270,5.5,204.4,21,12,163,27.2,77,28,7,24,76.6
303,464,65.3,30.9,3265,7.0,217.7,18,6,175,37.7,70,40,3,45,93.4
262,448,58.5,32.0,3127,7.0,223.4,18,12,155,34.6,51,37,4,38,82.1
287,447,64.2,37.2,3018,6.8,251.5,18,10,147,32.9,84,39,7,33,87.8
259,402,64.4,30.9,2919,7.3,224.5,14,12,137,34.1,87,38,7,39,85.2
280,475,58.9,33.9,2908,6.1,207.7,11,17,132,27.8,63,37,6,55,69.5
219,367,59.7,26.2,2525,6.9,180.4,13,13,118,32.2,74,33,7,28,77.5
197,312,63.1,26.0,2483,8.0,206.9,17,8,119,38.1,76,38,8,21,95.3
198,309,64.1,34.3,2418,7.8,268.7,14,11,117,37.9,72,34,6,23,88.4
184,327,56.3,29.7,2206,6.7,200.5,11,14,98,30.0,56,28,6,36,70.5
186,311,59.8,38.9,2163,7.0,270.4,13,10,101,32.5,68,29,7,9,81.4
180,284,63.4,28.4,2001,7.0,200.1,12,9,106,37.3,59,21,4,29,85.1
132,240,55.0,26.7,1711,7.1,190.1,7,5,77,32.1,49,29,6,11,78.7
126,204,61.8,34.0,1710,8.4,285.0,10,9,75,36.8,81,27,8,8,86.4
147,214,68.7,23.8,1694,7.9,188.2,4,6,67,31.3,69,18,8,33,86.9
145,229,63.3,25.4,1657,7.2,184.1,8,7,81,35.4,63,22,3,18,83.9
141,224,62.9,37.3,1626,7.3,271.0,11,3,82,36.6,80,19,3,9,95.6
117,203,57.6,33.8,1417,7.0,236.2,10,6,64,31.5,41,23,3,16,83.3
107,179,59.8,25.6,1412,7.9,201.7,8,7,56,31.3,80,21,5,18,83.4
105,185,56.8,26.4,1326,7.2,189.4,7,2,56,30.3,75,18,2,18,87.4
91,128,71.1,25.6,1057,8.3,211.4,4,3,44,34.4,70,12,4,17,96.4
86,146,58.9,20.9,993,6.8,141.9,5,7,47,32.2,61,11,1,14,70.9
76,131,58.0,26.2,838,6.4,167.6,5,3,39,29.8,80,13,1,6,80.3
65,97,67.0,16.2,701,7.2,116.8,5,0,44,45.4,35,6,0,4,105.2
64,121,52.9,12.1,604,5.0,60.4,3,2,33,27.3,67,5,2,19,68.3
45,93,48.4,31.0,562,6.0,187.3,2,4,30,32.3,41,9,1,6,56.8
42,78,53.8,26.0,492,6.3,164.0,3,1,19,24.4,63,5,3,16,80.7
